receiving_country,year,confucius_institutes,sister_cities_established,government_visits,military_visits,total_elite_visits,ambassador_op_eds,journalist_visits,media_partnerships,outbound_chinese_students,inbound_students_to_china
"Afghanistan",2000,0,0,0,"N/A",0,"N/A","N/A","N/A","N/A","N/A"
"Afghanistan",2001,0,0,1,"N/A",1,"N/A","N/A","N/A","N/A","N/A"
"Afghanistan",2002,0,0,4,"N/A",4,"N/A",0,"N/A","N/A",16
"Afghanistan",2003,0,0,3,"N/A",3,"N/A",0,"N/A","N/A",22
"Afghanistan",2004,0,0,7,"N/A",7,"N/A",1,"N/A","N/A",21
"Afghanistan",2005,0,0,6,1,7,"N/A",1,"N/A","N/A",24
"Afghanistan",2006,0,0,6,2,8,"N/A",1,"N/A","N/A",49
"Afghanistan",2007,0,0,6,2,8,"N/A",1,"N/A","N/A",78
"Afghanistan",2008,1,0,7,"N/A",7,"N/A",2,"N/A","N/A",129
"Afghanistan",2009,0,0,2,"N/A",2,"N/A",3,"N/A","N/A",160
"Afghanistan",2010,0,0,8,2,10,"N/A",4,"N/A","N/A",225
"Afghanistan",2011,0,0,4,"N/A",4,"N/A",4,"N/A","N/A",291
"Afghanistan",2012,0,0,9,2,11,"N/A",5,"N/A","N/A",335
"Afghanistan",2013,0,0,5,"N/A",5,"N/A",5,"N/A","N/A",385
"Afghanistan",2014,0,0,7,"N/A",7,"N/A",5,"N/A","N/A",457
"Afghanistan",2015,0,0,6,1,7,"N/A",5,"N/A","N/A",496
"Afghanistan",2016,0,0,6,5,11,"N/A",5,"N/A","N/A",742
"Afghanistan",2017,0,1,20,"N/A",20,"N/A",5,"N/A","N/A",1277
"Afghanistan",2018,0,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Australia",2000,0,8,46,8,54,"N/A","N/A",0,5008,"N/A"
"Australia",2001,0,1,49,5,54,"N/A","N/A",0,0,"N/A"
"Australia",2002,0,1,15,3,18,0,0,0,17343,1001
"Australia",2003,0,5,13,6,19,0,0,0,23448,918
"Australia",2004,0,3,9,4,13,0,0,2,28309,1159
"Australia",2005,0,3,20,4,24,0,0,0,37344,1591
"Australia",2006,1,4,14,1,15,0,0,0,42008,1420
"Australia",2007,2,4,7,4,11,0,0,0,50418,1464
"Australia",2008,1,3,21,1,22,0,0,0,57596,2083
"Australia",2009,2,3,23,4,27,0,0,0,70357,1874
"Australia",2010,2,0,18,4,22,0,0,0,87588,2892
"Australia",2011,4,4,25,5,30,0,0,2,90175,3330
"Australia",2012,1,6,21,5,26,0,0,0,87497,3246
"Australia",2013,0,4,16,5,21,2,0,0,87980,3446
"Australia",2014,0,4,13,9,22,2,0,0,90245,4721
