recipient_iso3,year,govt_visits,mil_visits,total_visits
AFG,2000,0,0,0
AFG,2001,1,0,1
AFG,2002,4,0,4
AFG,2003,3,0,3
AFG,2004,7,0,7
AFG,2005,6,1,7
AFG,2006,6,2,8
AFG,2007,6,2,8
AFG,2008,7,0,7
AFG,2009,2,0,2
AFG,2010,8,2,10
AFG,2011,4,0,4
AFG,2012,9,2,11
AFG,2013,5,0,5
AFG,2014,7,0,7
AFG,2015,6,1,7
AFG,2016,6,5,11
AFG,2017,20,0,20
AFG,2018,0,0,0
AUS,2000,46,8,54
AUS,2001,49,5,54
AUS,2002,15,3,18
AUS,2003,13,6,19
AUS,2004,9,4,13
AUS,2005,20,4,24
AUS,2006,14,1,15
AUS,2007,7,4,11
AUS,2008,21,1,22
AUS,2009,23,4,27
AUS,2010,18,4,22
AUS,2011,25,5,30
AUS,2012,21,5,26
AUS,2013,16,5,21
AUS,2014,13,9,22
AUS,2015,9,3,12
AUS,2016,0,0,0
AUS,2017,0,0,0
AUS,2018,0,0,0
BGD,2000,11,0,11
BGD,2001,4,0,4
BGD,2002,11,0,11
BGD,2003,8,1,9
BGD,2004,10,1,11
BGD,2005,13,2,15
BGD,2006,4,1,5
BGD,2007,7,3,10
BGD,2008,8,0,8
BGD,2009,10,3,13
BGD,2010,10,2,12
BGD,2011,5,4,9
BGD,2012,2,0,2
BGD,2013,7,2,9
BGD,2014,5,3,8
BGD,2015,5,2,7
BGD,2016,5,5,10
BGD,2017,3,0,3
BGD,2018,0,0,0
BTN,2000,3,0,3
BTN,2001,4,0,4
BTN,2002,0,0,0
BTN,2003,0,0,0
BTN,2004,0,0,0
BTN,2005,0,0,0
BTN,2006,0,0,0
BTN,2007,0,0,0
BTN,2008,0,0,0
BTN,2009,0,0,0
BTN,2010,0,0,0
BTN,2011,0,0,0
BTN,2012,0,0,0
BTN,2013,0,0,0
BTN,2014,0,0,0
BTN,2015,0,0,0
BTN,2016,0,0,0
BTN,2017,0,0,0
BTN,2018,0,0,0
BRN,2000,4,0,4
BRN,2001,14,0,14
BRN,2002,7,1,8
BRN,2003,3,1,4
BRN,2004,7,2,9
BRN,2005,3,0,3
BRN,2006,11,0,11
BRN,2007,3,1,4
BRN,2008,6,2,8
