year,recipient,recipient_iso3,aid,debt,aid_socgov,aid_econ,aid_human
2000,Afghanistan,AFG,1113800.69227168,0,0,0,1113800.69227168
2001,Afghanistan,AFG,2446247.142411189,0,0,0,263685.222856719
2002,Afghanistan,AFG,15609533.866151411,0,0,0,10032676.951726351
2003,Afghanistan,AFG,14994850.208120817,0,14994850.208120817,0,0
2004,Afghanistan,AFG,63438647.70928352,0,28665932.38386622,0,0
2005,Afghanistan,AFG,48972181.277083695,0,48972181.277083695,0,0
2006,Afghanistan,AFG,23126810.73032671,0,5431374.486375811,0,17695436.2439509
2007,Afghanistan,AFG,21895556.604798082,0,3122870.20252187,0,18772686.402276214
2008,Afghanistan,AFG,29639952.504446898,0,25831178.048100017,0,0
2009,Afghanistan,AFG,8707406.341849918,0,2982248.094881248,0,5725158.24696867
2010,Afghanistan,AFG,7221741.081271155,18129497.3315253,2812891.82753805,4106690.96487435,302158.288858755
2011,Afghanistan,AFG,17174933.477967132,0,17174933.477967132,0,0
2012,Afghanistan,AFG,694219.011023648,0,694219.011023648,0,0
2013,Afghanistan,AFG,0,0,0,0,0
2014,Afghanistan,AFG,2568094.934363696,0,2568094.934363696,0,0
2015,Afghanistan,AFG,28730809.970495198,0,13134086.841626432,8356793.80299497,7239929.325873796
2016,Afghanistan,AFG,45765568.912623756,0,37590392.26149975,0,8175176.651124011
2017,Afghanistan,AFG,88572699.26310219,0,77158043.70726551,0,11414655.55583668
2000,Angola,AGO,0,0,0,0,0
2001,Angola,AGO,14404908.66905948,0,13095371.5173268,0,1309537.15173268
2002,Angola,AGO,3913893.450522212,282030465.7553069,1952518.6090752,0,1961374.841447012
2003,Angola,AGO,23258875.4705851,0,23258875.4705851,0,0
2004,Angola,AGO,0,143618467.2737161,0,0,0
2005,Angola,AGO,1884110.49736411,2408445649.260556,0,1884110.49736411,0
2006,Angola,AGO,1016265.5141076299,2129448282.4609532,663578.859148162,0,352686.654959468
2007,Angola,AGO,10674772.273670964,3334100247.59988,410568.164371963,0,0
2008,Angola,AGO,0,172525612.4694482,0,0,0
2009,Angola,AGO,3316775.01107718,2092462597.71995,0,0,0
2010,Angola,AGO,54190465.558233224,676834567.0436124,54190465.558233224,0,0
2011,Angola,AGO,331232.4291650935,2275927878.227194,331232.4291650935,0,0
2012,Angola,AGO,16144628.1633406,1040911795.548301,16144628.1633406,0,0
2013,Angola,AGO,31605509.535869,3506086147.55113,31605509.535869,0,0
2014,Angola,AGO,54745.1913500911,0,54745.1913500911,0,0
2015,Angola,AGO,31283.8855687837,1472667911.3570294,31283.8855687837,0,0
2016,Angola,AGO,12858679.584037686,19111311823.464634,2096259.3846928831,10249923.999376,512496.199968801
2017,Angola,AGO,30000,2000000000,30000,0,0
2000,Albania,ALB,2673121.66145203,0,0,2673121.66145203,0
2001,Albania,ALB,0,0,0,0,0
2002,Albania,ALB,0,0,0,0,0
2003,Albania,ALB,1374388.09598912,0,0,1374388.09598912,0
2004,Albania,ALB,5955134.26522724,0,3582781.24035556,2372353.02487168,0
2005,Albania,ALB,2324775.130341209,0,2324775.130341209,0,0
2006,Albania,ALB,0,0,0,0,0
2007,Albania,ALB,0,0,0,0,0
2008,Albania,ALB,0,0,0,0,0
2009,Albania,ALB,0,0,0,0,0
2010,Albania,ALB,1232805.8185437205,0,1208633.15543502,0,24172.6631087004
2011,Albania,ALB,1652099.38098343,0,0,1652099.38098343,0
2012,Albania,ALB,80723.1408167032,0,80723.1408167032,0,0
2013,Albania,ALB,0,0,0,0,0
2014,Albania,ALB,0,0,0,0,0
2015,Albania,ALB,1564194.27843918,0,0,1564194.27843918,0
2016,Albania,ALB,1691729.064302727,0,1691729.064302727,0,0
2017,Albania,ALB,5154237.119935763,0,3519874.644491506,1634362.4754442568,0
2000,Burundi,BDI,0,0,0,0,0
2001,Burundi,BDI,102515647.71642931,0,0,1582111.33714031,0
2002,Burundi,BDI,0,0,0,0,0
2003,Burundi,BDI,0,0,0,0,0
2004,Burundi,BDI,2696272.8182660155,15637760.3556125,2696272.8182660155,0,0
