year,recipient_iso3,pmm_fh,pmm_polity,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,gdp,pop,unemp,china_gdp,disaster,civilwar,dist,distw,distwces,trade,atopally,region
2000,AFG,1,-7,0.072,0.026,0.013,0.008,0.038,57910375018,20779957,11.65,2232180000000,0,1,4180.4375,4434.381992228317,4369.992802879414,525297312,0,South Asia
2001,AFG,1,-7,0.079,0.03,0.018,0.013,0.04,26775192727,21606992,11.63,2418250000000,3.999999998,1,4180.4375,4434.381992228317,4369.992802879414,13193305,0,South Asia
2002,AFG,2,-2,0.227,0.095,0.097,0.252,0.148,7465114629,22600774,11.68,2639120000000,1285.999798,1,4180.4375,4434.381992228317,4369.992802879414,14619456,0,South Asia
2003,AFG,2,-2,0.233,0.096,0.101,0.257,0.158,8124454292,23680871,11.68,2904040000000,137.0000003,1,4180.4375,4434.381992228317,4369.992802879414,17839410,0,South Asia
2004,AFG,2.5,6,0.257,0.105,0.116,0.265,0.165,8239343661,24726689,11.61,3197740000000,18.00000003,1,4180.4375,4434.381992228317,4369.992802879414,34308624,0,South Asia
2005,AFG,3,0,0.336,0.13,0.141,0.301,0.203,9164598458,25654274,11.52,3562110000000,561.0000677,1,4180.4375,4434.381992228317,4369.992802879414,30974072,0,South Asia
2006,AFG,3,3,0.399,0.225,0.161,0.336,0.231,9655582953,26433058,11.34,4015240000000,382.0000069,1,4180.4375,4434.381992228317,4369.992802879414,60167272,0,South Asia
2007,AFG,3,3,0.399,0.227,0.159,0.336,0.233,10990594707,27100542,11.18,4586650000000,296.0000261,1,4180.4375,4434.381992228317,4369.992802879414,93137512,0,South Asia
2008,AFG,2.5,4,0.403,0.228,0.16,0.346,0.232,11421973771,27722281,11.11,5029290000000,0,1,4180.4375,4434.381992228317,4369.992802879414,91372144,0,South Asia
2009,AFG,2.5,1,0.333,0.161,0.164,0.25,0.235,13865194314,28394806,11.46,5501980000000,100.9999999,1,4180.4375,4434.381992228317,4369.992802879414,150735424,0,South Asia
2010,AFG,2.5,4,0.343,0.193,0.178,0.261,0.248,15856574731,29185511,11.52,6087160000000,349.9999974,1,4180.4375,4434.381992228317,4369.992802879414,124604616,0,South Asia
2011,AFG,2.5,-6,0.218,0.101,0.11,0.173,0.157,15924179996,30117411,11.51,6668540000000,61.99999998,1,4180.4375,4434.381992228317,4369.992802879414,157945728,0,South Asia
2012,AFG,2.5,-1,0.267,0.152,0.149,0.253,0.197,17954877146,31161378,11.52,7192930000000,333.0000057,1,4180.4375,4434.381992228317,4369.992802879414,323427488,0,South Asia
2013,AFG,4.5,6,0.496,0.31,0.292,0.288,0.305,18960483969,32269592,11.54,7751550000000,154.9999966,1,4180.4375,4434.381992228317,4369.992802879414,231473488,0,South Asia
2014,AFG,2.5,3,0.327,0.13,0.15,0.261,0.214,19477070577,33370804,11.45,8327160000000,574.9999869,1,4180.4375,4434.381992228317,4369.992802879414,263119728,0,South Asia
2000,AGO,2,-3,0.161,0.09,0.066,0.059,0.068,36155384575,16395477,3.87,2232180000000,58.99999984,1,11769.5146484375,11829.967001156616,11803.086859800445,43737056,0,Sub-Saharan Africa
2001,AGO,2,-3,0.162,0.093,0.067,0.062,0.064,37676079529,16945753,3.85,2418250000000,56.99999982,1,11769.5146484375,11829.967001156616,11803.086859800445,35068548,0,Sub-Saharan Africa
2002,AGO,2.5,-2,0.165,0.101,0.058,0.066,0.064,42824774451,17519418,3.88,2639120000000,7.999999995,1,11769.5146484375,11829.967001156616,11803.086859800445,44992312,0,Sub-Saharan Africa
2003,AGO,2.5,-2,0.172,0.106,0.062,0.091,0.07,44105170975,18121477,3.88,2904040000000,14.99999998,0,11769.5146484375,11829.967001156616,11803.086859800445,98206208,0,Sub-Saharan Africa
2004,AGO,2.5,-2,0.172,0.107,0.062,0.091,0.071,48935949384,18758138,3.85,3197740000000,28.00000002,1,11769.5146484375,11829.967001156616,11803.086859800445,116163208,0,Sub-Saharan Africa
2005,AGO,2.5,-2,0.173,0.108,0.063,0.092,0.071,56290491777,19433604,3.81,3562110000000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,225581680,0,Sub-Saharan Africa
2006,AGO,2.5,-2,0.173,0.108,0.063,0.092,0.071,62790739427,20149905,3.73,4015240000000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,534686304,0,Sub-Saharan Africa
2007,AGO,2.5,-2,0.173,0.109,0.06,0.092,0.071,71587733475,20905360,3.66,4586650000000,104.9999988,1,11769.5146484375,11829.967001156616,11803.086859800445,682033920,0,Sub-Saharan Africa
2008,AGO,2.5,-2,0.188,0.128,0.062,0.095,0.074,79581318823,21695636,3.63,5029290000000,7,0,11769.5146484375,11829.967001156616,11803.086859800445,1753681024,0,Sub-Saharan Africa
2009,AGO,3,1,0.242,0.125,0.126,0.178,0.16,80264693647,22514275,3.78,5501980000000,62.00000006,1,11769.5146484375,11829.967001156616,11803.086859800445,1684292736,0,Sub-Saharan Africa
2010,AGO,5,7,0.562,0.427,0.363,0.406,0.378,83799496611,23356247,9.43,6087160000000,25.00000005,0,11769.5146484375,11829.967001156616,11803.086859800445,1426434432,0,Sub-Saharan Africa
2011,AGO,4,4,0.387,0.214,0.219,0.25,0.251,86708995310,24220660,7.36,6668540000000,129.9999994,0,11769.5146484375,11829.967001156616,11803.086859800445,1909677952,0,Sub-Saharan Africa
2012,AGO,3.5,3,0.379,0.228,0.169,0.283,0.243,94115840393,25107925,7.37,7192930000000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,2816178944,0,Sub-Saharan Africa
2013,AGO,4,5,0.388,0.23,0.214,0.259,0.249,98778851724,26015786,7.38,7751550000000,8.999999996,0,11769.5146484375,11829.967001156616,11803.086859800445,2789779200,0,Sub-Saharan Africa
2014,AGO,5,7,0.567,0.428,0.381,0.411,0.365,103543000000,26941773,7.31,8327160000000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,3995155968,0,Sub-Saharan Africa
2000,BDI,2,-1,0.183,0.159,0.138,0.219,0.172,1462076151,6378871,1.87,2232180000000,0,1,10011.623046875,9997.050326437378,9965.252117795892,0,0,Sub-Saharan Africa
2001,BDI,2,0,0.186,0.16,0.138,0.23,0.173,1492133616,6525546,1.86,2418250000000,0,1,10011.623046875,9997.050326437378,9965.252117795892,4152522.5,0,Sub-Saharan Africa
2002,BDI,2.5,2,0.202,0.161,0.151,0.236,0.179,1558481627,6704118,1.89,2639120000000,0,1,10011.623046875,9997.050326437378,9965.252117795892,4295681.5,0,Sub-Saharan Africa
2003,BDI,3,3,0.206,0.162,0.152,0.237,0.18,1539410052,6909161,1.89,2904040000000,0,1,10011.623046875,9997.050326437378,9965.252117795892,3997739.5,0,Sub-Saharan Africa
2004,BDI,3,5,0.207,0.161,0.151,0.243,0.179,1613819866,7131688,1.85,3197740000000,3.000000005,1,10011.623046875,9997.050326437378,9965.252117795892,3466697.25,0,Sub-Saharan Africa
2005,BDI,4,6,0.297,0.157,0.234,0.232,0.202,1628344244,7364857,1.81,3562110000000,0,1,10011.623046875,9997.050326437378,9965.252117795892,6427826.5,0,Sub-Saharan Africa
2006,BDI,3.5,6,0.412,0.195,0.282,0.27,0.248,1716499661,7607850,1.73,4015240000000,21.99999997,1,10011.623046875,9997.050326437378,9965.252117795892,10203262,0,Sub-Saharan Africa
2007,BDI,3.5,6,0.407,0.193,0.285,0.27,0.246,1775752414,7862226,1.66,4586650000000,4.999999991,0,10011.623046875,9997.050326437378,9965.252117795892,6951129,0,Sub-Saharan Africa
