year,recipient_iso3,polity2,v2x_api,gdp,pop,china_gdp,china_pop,disaster,civilwar,dist,distw,distwces,imports,exports,atopally,distance,agree,fdi,region
2002,AFG,NA,0.447,26890054382.385,22600774,5152785033972.09,1280400000,1285.999798,1,4180.4375,4434.381992228317,4369.992802879414,79936,19910993,0,0.1271514,0.9117647,NA,South Asia
2003,AFG,NA,0.463,29265058689.4061,23680871,5670023166308.18,1288400000,137.0000003,1,4180.4375,4434.381992228317,4369.992802879414,612288,26446713,0,0.06329,0.9485294,NA,South Asia
2004,AFG,NA,0.493,29678901146.3632,24726689,6243467841396.09,1296075000,18.00000003,1,4180.4375,4434.381992228317,4369.992802879414,947329,56973084,0,0.0690319,0.9469697,NA,South Asia
2005,AFG,NA,0.605,33011757107.8906,25654274,6954885516694.85,1303720000,561.0000677,1,4180.4375,4434.381992228317,4369.992802879414,1511677,51208556,0,0.0766138,0.9493671,NA,South Asia
2006,AFG,NA,0.666,34780330056.488,26433058,7839613419837.17,1311020000,382.0000069,1,4180.4375,4434.381992228317,4369.992802879414,185744,100486966,0,0.5018814,0.9166667,NA,South Asia
2007,AFG,NA,0.667,39589169629.938904,27100542,8955257903305.3,1317885000,296.0000261,1,4180.4375,4434.381992228317,4369.992802879414,2376291,169532599,0,0.0494248,0.9438202,NA,South Asia
2008,AFG,NA,0.674,41143038133.026,27722281,9819501089971.55,1324655000,0,1,4180.4375,4434.381992228317,4369.992802879414,2693017,151626761,0,0.0259363,0.9277778,-47951776.13,South Asia
2009,AFG,NA,0.668,49943751386.6576,28394806,10742409055886.5,1331260000,100.9999999,1,4180.4375,4434.381992228317,4369.992802879414,1375868,213366201,0,0.095249,0.9473684,-55860135.47,South Asia
2010,AFG,NA,0.66,57116893447.1231,29185511,11884957832311.2,1337705000,349.9999974,1,4180.4375,4434.381992228317,4369.992802879414,3680419,175264609,0,0.0097494,0.9583333,-192022479.5,South Asia
2011,AFG,NA,0.656,57360414055.1093,30117411,13020070209403.8,1345035000,61.99999998,1,4180.4375,4434.381992228317,4369.992802879414,4403087,230009966,0,0.060318,0.9076087,-51036283.61,South Asia
2012,AFG,NA,0.657,64675178730.6937,31161378,14043934216102.1,1354190000,333.0000057,1,4180.4375,4434.381992228317,4369.992802879414,5186565,464033546,0,0.072863,0.9117647,-65684511.34,South Asia
2013,AFG,NA,0.659,68297470348.5577,32269592,15134607226924.2,1363240000,154.9999966,1,4180.4375,4434.381992228317,4369.992802879414,9595295,328258809,0,0.2764499,0.9416667,-47774027.01,South Asia
2014,AFG,-1,0.655,70158264544.684,33370804,16258467389928.8,1371860000,574.9999869,1,4180.4375,4434.381992228317,4369.992802879414,17371806,393559251,0,0.0254714,0.9342105,-42994416.21,South Asia
2015,AFG,-1,0.653,71176481723.2911,34413603,17403279549482.5,1379860000,191.9999994,0,4180.4375,4434.381992228317,4369.992802879414,11770644,361819889,0,0.5770068,0.8623188,-166983554.9,South Asia
2016,AFG,-1,0.63,72785293847.6716,35383028,18595188781703.6,1387790000,77.99999873,0,4180.4375,4434.381992228317,4369.992802879414,4534101,430653261,0,0.2491919,0.8640777,-79585268.75,South Asia
2017,AFG,-1,0.635,74711922906.3738,36296111,19887033884256.7,1396215000,155.0000002,0,4180.4375,4434.381992228317,4369.992802879414,3427619,541205985,0,0.5518366,0.7743363,-40273161,South Asia
2002,AGO,-2,0.327,91427834244.5352,17519418,5152785033972.09,1280400000,7.999999995,1,11769.5146484375,11829.967001156616,11803.086859800445,1087049343,61310901,0,0.1261423,0.8277778,-1643393000,Sub-Saharan Africa
2003,AGO,-2,0.348,94161526488.4468,18121477,5670023166308.18,1288400000,14.99999998,0,11769.5146484375,11829.967001156616,11803.086859800445,2205934880,145791215,0,0.6001755,0.9050633,-3481071780,Sub-Saharan Africa
2004,AGO,-2,0.349,104472213644.531,18758138,6243467841396.09,1296075000,28.00000002,1,11769.5146484375,11829.967001156616,11803.086859800445,4717339146,193517905,0,0.3051307,0.9126984,-1413991820,Sub-Saharan Africa
2005,AGO,-2,0.354,120174387345.433,19433604,6954885516694.85,1303720000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,6581828714,372793946,0,0.23275,0.9130435,1523198987,Sub-Saharan Africa
2006,AGO,-2,0.354,134054529081.281,20149905,7839613419837.17,1311020000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,10933295107,894185633,0,0.4437889,0.9010417,228299945.9,Sub-Saharan Africa
2007,AGO,-2,0.354,152835568617.106,20905360,8955257903305.3,1317885000,104.9999988,1,11769.5146484375,11829.967001156616,11803.086859800445,12888664603,1234518651,0,0.327506,0.9032258,1805123607,Sub-Saharan Africa
2008,AGO,-2,0.381,169907301622.794,21695636,9819501089971.55,1324655000,7,0,11769.5146484375,11829.967001156616,11803.086859800445,22382523829,2942469756,0,0.0838169,0.9022989,890672963.9,Sub-Saharan Africa
2009,AGO,-2,0.439,171368504420.408,22514275,10742409055886.5,1331260000,62.00000006,1,11769.5146484375,11829.967001156616,11803.086859800445,14675830702,2385960008,0,4.354e-4,0.9487179,-2198545055,Sub-Saharan Africa
2010,AGO,-2,0.57,179697013732.907,23356247,11884957832311.2,1337705000,25.00000005,0,11769.5146484375,11829.967001156616,11803.086859800445,22815049454,2003872576,0,0.155523,0.9166667,4567640566,Sub-Saharan Africa
2011,AGO,-2,0.571,185932500111.876,24220660,13020070209403.8,1345035000,129.9999994,0,11769.5146484375,11829.967001156616,11803.086859800445,24922180492,2784153366,0,0.0395278,0.8915663,5116413414,Sub-Saharan Africa
2012,AGO,-2,0.568,201811135626.822,25107925,14043934216102.1,1354190000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,33561896917,4039171270,0,0.108812,0.9038462,2351103731,Sub-Saharan Africa
2013,AGO,-2,0.562,211800786835.41,26015786,15134607226924.2,1363240000,8.999999996,0,11769.5146484375,11829.967001156616,11803.086859800445,31972669347,3964058933,0,0.2158126,0.942623,8041583617,Sub-Saharan Africa
2014,AGO,-2,0.562,222009584757.969,26941773,16258467389928.8,1371860000,0,0,11769.5146484375,11829.967001156616,11803.086859800445,31106015046,5974996819,0,0.1136612,0.9276316,-2770722211,Sub-Saharan Africa
2015,AGO,-2,0.562,224096474853.328,27884380,17403279549482.5,1379860000,73.99999985,0,11769.5146484375,11829.967001156616,11803.086859800445,16001611383,3717145883,0,0.8242046,0.9333333,-10813085379,Sub-Saharan Africa
2016,AGO,-2,0.562,218314785810.082,28842482,18595188781703.6,1387790000,112.9999979,0,11769.5146484375,11829.967001156616,11803.086859800445,13966117080,1680398624,0,0.4609703,0.8454545,452522618.9,Sub-Saharan Africa
2017,AGO,-2,0.576,217987313632.157,29816769,19887033884256.7,1396215000,11,0,11769.5146484375,11829.967001156616,11803.086859800445,20698709467,2257453225,0,0.2228755,0.8076923,8749300466,Sub-Saharan Africa
