year,country,code,gdp,pop,unemp,hc
2000,Afghanistan,AFG,NA,20779957,11.65,NA
2000,Africa Eastern and Southern,AFE,5.08752E+11,398113044,7.657697704,NA
2000,Africa Western and Central,AFW,3.08462E+11,267214544,4.826129001,NA
2000,Albania,ALB,6933706092,3089027,16.58,NA
2000,Algeria,DZA,1.10437E+11,31042238,29.77,NA
2000,American Samoa,ASM,NA,57816,NA,NA
2000,Andorra,AND,2640408326,65390,NA,NA
2000,Angola,AGO,36155384575,16395477,3.87,NA
2000,Antigua and Barbuda,ATG,997674789.1,76007,NA,NA
2000,Arab World,ARB,1.38551E+12,282344141,12.45970757,NA
2000,Argentina,ARG,3.0323E+11,36870796,15,NA
2000,Armenia,ARM,4306732119,3069597,11.05,NA
2000,Aruba,ABW,2581804608,90866,NA,NA
2000,Australia,AUS,8.49137E+11,19153000,6.28,NA
2000,Austria,AUT,3.36495E+11,8011566,4.69,NA
2000,Azerbaijan,AZE,13352723759,8048600,11.78,NA
2000,"Bahamas, The",BHS,9409692545,298045,7.16,NA
2000,Bahrain,BHR,15256303191,664610,0.95,NA
2000,Bangladesh,BGD,67013472134,127657862,3.27,NA
2000,Barbados,BRB,4227500000,271511,9.35,NA
2000,Belarus,BLR,28028482646,9979610,12,NA
2000,Belgium,BEL,4.05833E+11,10251250,6.59,NA
2000,Belize,BLZ,955526751.4,247310,10.87,NA
2000,Benin,BEN,6520843116,6865946,0.84,NA
2000,Bermuda,BMU,5927399291,61833,NA,NA
2000,Bhutan,BTN,661804110.3,591014,1.64,NA
2000,Bolivia,BOL,13481147773,8418270,2.89,NA
2000,Bosnia and Herzegovina,BIH,11310019584,3751176,25.67,NA
2000,Botswana,BWA,8563534760,1643333,15.88,NA
2000,Brazil,BRA,1.53871E+12,174790339,9.9,NA
2000,British Virgin Islands,VGB,NA,20313,NA,NA
2000,Brunei Darussalam,BRN,11971150348,333166,5.53,NA
2000,Bulgaria,BGR,32555406324,8170172,16.22,NA
2000,Burkina Faso,BFA,5681569471,11607951,2.57,NA
2000,Burundi,BDI,1462076151,6378871,1.87,NA
2000,Cabo Verde,CPV,948465609.7,428178,10.79,NA
2000,Cambodia,KHM,5207355456,12155241,1.07,NA
2000,Cameroon,CMR,17787859759,15513944,7.6,NA
2000,Canada,CAN,1.21004E+12,30685730,6.83,NA
2000,Caribbean small states,CSS,49167646736,6513486,11.62607601,NA
2000,Cayman Islands,CYM,NA,42305,NA,NA
2000,Central African Republic,CAF,1539405300,3640421,4.47,NA
2000,Central Europe and the Baltics,CEB,9.23076E+11,108447824,12.43365201,NA
2000,Chad,TCD,3862436487,8355654,1.05,NA
2000,Channel Islands,CHI,NA,148439,5.88,NA
2000,Chile,CHL,1.44525E+11,15342350,10.49,NA
2000,China,CHN,2.23218E+12,1262645000,3.3,NA
2000,Colombia,COL,1.92716E+11,39629965,20.52,NA
2000,Comoros,COM,702926147.6,542358,4.59,NA
2000,"Congo, Dem. Rep.",COD,13660045127,47105830,2.91,NA
2000,"Congo, Rep.",COG,8181711322,3127420,20,NA
2000,Costa Rica,CRI,24451594617,3962369,5.08,NA
2000,Cote d'Ivoire,CIV,22322169525,16454660,4.52,NA
2000,Croatia,HRV,46678391315,4468302,16.06,NA
2000,Cuba,CUB,38729221264,11126423,5.45,NA
2000,Curacao,CUW,NA,133860,NA,NA
2000,Cyprus,CYP,18521230280,943288,4.97,NA
