year,recipient,recipient_iso3,aid,debt,aid_socgov,aid_econ,aid_human,frequencies_by_year,counts_by_year,relevant,govt_visits,mil_visits,total_visits,polity2,v2x_api,gdp,pop,china_gdp,china_pop,disaster,civilwar,dist,distw,distwces,imports,exports,atopally,distance,agree,fdi,region
2000,Afghanistan,AFG,1113800.69227168,0,0,0,1113800.69227168,0.24,12,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,Afghanistan,AFG,2446247.142411189,0,0,0,263685.222856719,4.83,231,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,Afghanistan,AFG,15609533.866151411,0,0,0,10032676.951726353,4.68,214,1,4,0,4,-3,0.447,26890054382.385,22600774,5152785033972.09,1280400000,1285.999798,1,4180.4375,4434.381992228317,4369.992802879414,79936,19910993,0,0.1271514,0.9117647,-299987139.7,South Asia
2003,Afghanistan,AFG,14994850.208120815,0,14994850.208120815,0,0,2.75,146,1,3,0,3,-3,0.463,29265058689.4061,23680871,5670023166308.18,1288400000,137.0000003,1,4180.4375,4434.381992228317,4369.992802879414,612288,26446713,0,0.06329,0.9485294,-38368774.63,South Asia
2004,Afghanistan,AFG,63438647.70928352,0,28665932.38386622,0,0,2.34,118,1,7,0,7,-4,0.493,29678901146.3632,24726689,6243467841396.09,1296075000,18.00000003,1,4180.4375,4434.381992228317,4369.992802879414,947329,56973084,0,0.0690319,0.9469697,-17219679.31,South Asia
2005,Afghanistan,AFG,48972181.277083695,0,48972181.277083695,0,0,1.92,96,1,6,1,7,2,0.605,33011757107.8906,25654274,6954885516694.85,1303720000,561.0000677,1,4180.4375,4434.381992228317,4369.992802879414,1511677,51208556,0,0.0766138,0.9493671,-62069526.09,South Asia
2006,Afghanistan,AFG,23126810.73032671,0,5431374.486375811,0,17695436.2439509,1.92,99,1,6,2,8,4,0.666,34780330056.488,26433058,7839613419837.17,1311020000,382.0000069,1,4180.4375,4434.381992228317,4369.992802879414,185744,100486966,0,0.5018814,0.9166667,-78966000,South Asia
2007,Afghanistan,AFG,21895556.60479808,0,3122870.20252187,0,18772686.402276214,2.16,104,1,6,2,8,3,0.667,39589169629.938904,27100542,8955257903305.3,1317885000,296.0000261,1,4180.4375,4434.381992228317,4369.992802879414,2376291,169532599,0,0.0494248,0.9438202,-20110637.04,South Asia
2008,Afghanistan,AFG,29639952.504446898,0,25831178.048100017,0,0,1.91,85,1,7,0,7,3,0.674,41143038133.026,27722281,9819501089971.55,1324655000,0,1,4180.4375,4434.381992228317,4369.992802879414,2693017,151626761,0,0.0259363,0.9277778,-47951776.13,South Asia
2009,Afghanistan,AFG,8707406.341849918,0,2982248.094881248,0,5725158.24696867,2.89,281,1,2,0,2,3,0.668,49943751386.6576,28394806,10742409055886.5,1331260000,100.9999999,1,4180.4375,4434.381992228317,4369.992802879414,1375868,213366201,0,0.095249,0.9473684,-55860135.47,South Asia
2010,Afghanistan,AFG,7221741.081271155,18129497.3315253,2812891.82753805,4106690.96487435,302158.288858755,2.18,250,1,8,2,10,4,0.66,57116893447.1231,29185511,11884957832311.2,1337705000,349.9999974,1,4180.4375,4434.381992228317,4369.992802879414,3680419,175264609,0,0.0097494,0.9583333,-192022479.5,South Asia
2011,Afghanistan,AFG,17174933.477967132,0,17174933.477967132,0,0,1.34,145,1,4,0,4,4,0.656,57360414055.1093,30117411,13020070209403.8,1345035000,61.99999998,1,4180.4375,4434.381992228317,4369.992802879414,4403087,230009966,0,0.060318,0.9076087,-51036283.61,South Asia
2012,Afghanistan,AFG,694219.011023648,0,694219.011023648,0,0,1.36,127,1,9,2,11,2,0.657,64675178730.6937,31161378,14043934216102.1,1354190000,333.0000057,1,4180.4375,4434.381992228317,4369.992802879414,5186565,464033546,0,0.072863,0.9117647,-65684511.34,South Asia
2013,Afghanistan,AFG,0,0,0,0,0,1.72,132,1,5,0,5,4,0.659,68297470348.5577,32269592,15134607226924.2,1363240000,154.9999966,1,4180.4375,4434.381992228317,4369.992802879414,9595295,328258809,0,0.2764499,0.9416667,-47774027.01,South Asia
