year,recipient,recipient_iso3,aid,count,freq,govt_visits,mil_visits,total_visits,pmm_fh,pmm_polity,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,gdp,pop,unemp,china_gdp,disaster,civilwar,dist,distw,distwces,trade,atopally,region
2000,Afghanistan,AFG,1160240.731,640,0.28,0,0,0,1,-7,0.072,0.026,0.013,0.008,0.038,NA,20779957,11.65,2232180000000,0,1,4180.4375,4434.381992228317,4369.992802879414,NA,0,South Asia
2001,Afghanistan,AFG,10788366.174999999,4461,1.91,1,0,1,1,NA,0.079,0.03,0.018,0.013,0.04,NA,21606992,11.63,2418250000000,3.999999998,1,4180.4375,4434.381992228317,4369.992802879414,13193305,0,South Asia
2002,Afghanistan,AFG,8407855.5487,2966,1.24,4,0,4,2,NA,0.227,0.095,0.097,0.252,0.148,7465114629,22600774,11.68,2639120000000,1285.999798,1,4180.4375,4434.381992228317,4369.992802879414,14619456,0,South Asia
2003,Afghanistan,AFG,2956010.2216999996,2199,0.86,3,0,3,2,NA,0.233,0.096,0.101,0.257,0.158,8124454292,23680871,11.68,2904040000000,137.0000003,1,4180.4375,4434.381992228317,4369.992802879414,17839410,0,South Asia
2004,Afghanistan,AFG,42040199.923,2471,0.92,7,0,7,2.5,NA,0.257,0.105,0.116,0.265,0.165,8239343661,24726689,11.61,3197740000000,18.00000003,1,4180.4375,4434.381992228317,4369.992802879414,34308624,0,South Asia
2005,Afghanistan,AFG,0,2409,0.94,6,1,7,3,NA,0.336,0.13,0.141,0.301,0.203,9164598458,25654274,11.52,3562110000000,561.0000677,1,4180.4375,4434.381992228317,4369.992802879414,30974072,0,South Asia
2006,Afghanistan,AFG,1839410.993,3278,1.05,6,2,8,3,NA,0.399,0.225,0.161,0.336,0.231,9655582953,26433058,11.34,4015240000000,382.0000069,1,4180.4375,4434.381992228317,4369.992802879414,60167272,0,South Asia
2007,Afghanistan,AFG,19556249.5485,3786,1.27,6,2,8,3,NA,0.399,0.227,0.159,0.336,0.233,10990594707,27100542,11.18,4586650000000,296.0000261,1,4180.4375,4434.381992228317,4369.992802879414,93137512,0,South Asia
2008,Afghanistan,AFG,22364544.740000002,2629,0.81,7,0,7,2.5,NA,0.403,0.228,0.16,0.346,0.232,11421973771,27722281,11.11,5029290000000,0,1,4180.4375,4434.381992228317,4369.992802879414,91372144,0,South Asia
2009,Afghanistan,AFG,3104363.4768000003,8831,1.66,2,0,2,NA,NA,NA,NA,NA,NA,NA,13865194314,28394806,11.46,5501980000000,100.9999999,1,4180.4375,4434.381992228317,4369.992802879414,150735424,0,South Asia
