aid,title,more_info,Class,Aids or not,publication_date,source_name,country,extracted_organizations,extracted_locations,url
2.02E+16,Forthcoming U.N. Meeting Urged to Help End Conflict in Congo,Forthcoming U.N. Meeting Urged to Help End Conflict in Congo U.N. Security Council|DRC|United Nations|Union for Democracy and Social Progress|UDSP|African National Congress|U.N.|Union for Democracy|Social Progress|Opposition|Rebels|South African|African|Zambian,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,"Democratic Republic of the Congo|Republic of South Africa, South Africa|United States",U.N. Security Council|DRC|United Nations|Union for Democracy and Social Progress|UDSP|African National Congress|U.N.|Union for Democracy|Social Progress|Opposition|Rebels|South African|African|Zambian,U.S.|DRC|South Africa|Democratic Republic of the Congo|Lusaka,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHH0-00RC-91P9-00000-00&context=1516831
2.02E+16,International Film Festival Opens In India,International Film Festival Opens In India IFFI|International Film Festival of India|Information and Broadcasting|American Indian,Entertainment,,2000-01-11T00:00:00Z,BulkLexisNexis,"Republic of India, India",IFFI|International Film Festival of India|Information and Broadcasting|American Indian,India,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHH0-00RC-91RK-00000-00&context=1516831
2.02E+16,Samaranch to Meet with Swiss Ministers,Samaranch to Meet with Swiss Ministers Ogi|Sion|International Olympic Committee|European Union|IOC|Italian|European|Swiss,Politics,,2000-01-11T00:00:00Z,BulkLexisNexis,Switzerland,Ogi|Sion|International Olympic Committee|European Union|IOC|Italian|European|Swiss,Bern|Turin|Olympic Museum|Lausanne|Switzerland,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHJ0-00RC-91VD-00000-00&context=1516831
2.02E+16,South African Miners Trapped Underground,South African Miners Trapped Underground African Press Association|African Rainbow Minerals|South African|African,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,,African Press Association|African Rainbow Minerals|South African|African,North West Province|Orkney,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9K-SHJ0-00RC-91VX-00000-00&context=1516831
2.02E+16,10 Banks in Indonesia to be Merged,"10 Banks in Indonesia to be Merged Bank Danamon|Bank PDFCI and Bank Tiara|CAR|Antara News Agency|Bank PDFCI , Bank Nusa Nasional , Bank Tiara , Bank Rama , Bank Pos , Bank Duta , Bank Tamara , Bank Risjad Salim Internasional and Bank Jaya|Bank Indonesia|IBRA|Ministry of Law and Legal Affairs|Indonesian Bank Restructuring Agency|International Monetary Fund|Indonesian Capital Market Supervisory Agency|Indonesian",Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,United States,"Bank Danamon|Bank PDFCI and Bank Tiara|CAR|Antara News Agency|Bank PDFCI , Bank Nusa Nasional , Bank Tiara , Bank Rama , Bank Pos , Bank Duta , Bank Tamara , Bank Risjad Salim Internasional and Bank Jaya|Bank Indonesia|IBRA|Ministry of Law and Legal Affairs|Indonesian Bank Restructuring Agency|International Monetary Fund|Indonesian Capital Market Supervisory Agency|Indonesian",U.S.|IBRA,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y5-00000-00&context=1516831
2.02E+16,1st Purely Online Banking-Brokerage Company Approved in U.S.,1st Purely Online Banking-Brokerage Company Approved in U.S. U.S. Federal|Telebanc Financial Corp.|Office of Thrift Supervision|ETrade Group Inc.|Website|Loan Inc.|ETrade|Telebanc for,Economy,,2000-01-11T00:00:00Z,BulkLexisNexis,,U.S. Federal|Telebanc Financial Corp.|Office of Thrift Supervision|ETrade Group Inc.|Website|Loan Inc.|ETrade|Telebanc for,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y6-00000-00&context=1516831
2.02E+16,Adams Calls for Continued U.S. Support for N.Irish peace,Adams Calls for Continued U.S. Support for N.Irish peace IRA|Sinn Fein|Irish Republican Army|British|Republican Army,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,"United Kingdom of Great Britain and Northern Ireland, United Kingdom|United States",IRA|Sinn Fein|Irish Republican Army|British|Republican Army,U.S.|Belfast|Britain|Northern Ireland|Washington,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y8-00000-00&context=1516831
2.02E+16,Albanian Police Seize Large Quantity of Marijuana,Albanian Police Seize Large Quantity of Marijuana Albanian,Local,,2000-01-11T00:00:00Z,BulkLexisNexis,"Hellenic Republic, Greece",Albanian,Greece|Kapshtica,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91Y9-00000-00&context=1516831
2.02E+16,Algerian President Pardons Militant Islamic Group,Algerian President Pardons Militant Islamic Group Civil Reconciliation Law|Islamic Salvation Army|AIS|Islamic Salvation Front|Islamic Front For Salvation|Algerian|Militants|African,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,,Civil Reconciliation Law|Islamic Salvation Army|AIS|Islamic Salvation Front|Islamic Front For Salvation|Algerian|Militants|African,,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YB-00000-00&context=1516831
2.02E+16,All 10 on Board Swiss Crossair Saab-340 Killed in Crash,All 10 on Board Swiss Crossair Saab-340 Killed in Crash Crossair|Swiss Radio International|French|Swiss,Conflict,,2000-01-11T00:00:00Z,BulkLexisNexis,"Federal Republic of Germany, Germany",Crossair|Swiss Radio International|French|Swiss,Dresden|Zurich|Kloten|Germany,https://advance.lexis.com/api/document?collection=News&id=urn:contentItem:3Y9T-RHG0-00RC-91YC-00000-00&context=1516831
