"","country_mentioned","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","",14088,14295,16436,21585,23957,24727,20196,20990,22687,40586,46364,42243,33007,27177,21912
"2","Ahvenanmaan Laeaeni, Aland Islands",NA,NA,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,1,NA
"3","American Samoa, Territory of, American Samoa",22,15,2,2,29,4,7,21,71,114,60,20,10,7,15
"4","Anguilla",3,2,3,1,3,2,4,NA,3,4,4,2,NA,3,2
"5","Antarctica",23,15,25,30,25,27,24,71,88,166,119,84,105,88,116
"6","Antigua and Barbuda",9,3,5,8,31,7,4,19,14,35,35,24,10,40,16
"7","Arab Republic of Egypt, Egypt",2586,2631,2477,2582,3102,2751,2611,2743,2413,5569,4217,7002,4721,5370,2576
"8","Argentine Republic, Argentina",1153,1542,1891,1615,2214,1974,2071,1564,2604,2854,3276,2377,1962,1747,1607
"9","Aruba",25,2,7,4,24,5,5,8,11,9,12,13,11,14,10
"10","Bailiwick of Guernsey, Guernsey",NA,1,1,NA,1,2,NA,5,1,1,3,1,NA,4,2
"11","Bailiwick of Jersey, Jersey",7,1,4,8,10,1,4,8,2,2,29,20,7,9,6
"12","Bangladesh",1050,778,811,1042,1241,1329,1433,1688,1147,3716,3554,2248,1566,1355,1003
"13","Barbados",105,33,34,40,62,87,47,47,57,107,130,77,36,58,65
"14","Belize",94,33,20,16,41,46,22,24,51,55,64,60,24,48,22
"15","Bermuda",37,10,11,10,34,17,25,40,18,22,33,25,24,18,8
"16","Bolivarian Republic of Venezuela, Venezuela",606,577,573,865,1051,989,1074,976,1569,1791,1458,975,941,1127,688
"17","Bonaire, Saint Eustatius and Saba, Bonaire, Saint Eustatius and Saba ",NA,NA,NA,NA,NA,1,NA,NA,1,NA,4,NA,2,NA,2
"18","Bosnia and Herzegovina",255,291,267,210,288,244,288,217,202,337,515,337,270,389,553
"19","British Virgin Islands",37,6,8,13,28,15,24,32,34,52,25,25,26,19,14
"20","Brunei Darussalam, Brunei",397,429,460,424,399,381,348,407,283,732,684,628,687,947,426
"21","Burkina Faso",105,128,137,109,197,133,146,355,139,438,553,271,284,350,223
"22","Cayman Islands",30,4,14,12,42,10,25,38,26,21,34,27,40,23,8
"23","Central African Republic",58,71,49,99,194,62,77,137,123,281,292,158,213,673,582
"24","Co-operative Republic of Guyana, Guyana",63,30,55,47,68,83,40,58,80,99,140,73,66,75,26
"25","Commonwealth of Australia, Australia",3078,2928,2606,2700,3483,3498,4171,3627,4654,7794,10311,9790,6055,4954,4902
"26","Commonwealth of The Bahamas, Bahamas",94,76,106,105,131,109,103,110,124,301,126,92,69,84,67
"27","Commonwealth of the Northern Mariana Islands, Northern Mariana Islands",NA,NA,NA,1,3,4,4,8,2,7,4,10,9,9,1
"28","Cook Islands",36,19,9,19,90,36,64,64,29,130,164,73,147,54,55
"29","Country of Curacao, Curacao",2,2,7,NA,1,4,5,2,7,2,14,4,10,15,8
"30","Czechia",869,904,798,850,1324,1314,1613,1711,2062,2581,1979,1930,1713,1203,1338
"31","Czechoslovakia, Serbia and Montenegro",16,29,37,23,34,33,37,17,27,78,46,25,23,13,33
"32","Democratic People's Republic of Korea, North Korea",50,42,97,167,108,174,111,90,109,505,419,227,211,387,139
"33","Democratic Republic of Timor-Leste, East Timor",467,257,509,287,223,188,271,131,110,182,275,173,187,84,51
"34","Democratic Republic of the Congo",1267,1324,1053,979,1028,760,996,1007,566,1115,1350,986,1078,968,604
"35","Democratic Socialist Republic of Sri Lanka, Sri Lanka",1079,841,956,978,1386,1901,1300,1388,784,2963,2860,2476,1969,1289,1026
"36","Dominica",34,19,9,20,75,51,37,48,75,60,102,50,48,65,25
"37","Dominican Republic",93,110,102,302,365,246,192,244,336,440,705,295,273,200,133
"38","Falkland Islands (Islas Malvinas), Falkland Islands",2,11,4,1,2,1,8,9,11,6,46,10,68,23,5
"39","Faroe Islands",13,22,21,24,31,34,35,32,16,53,41,42,25,37,13
"40","Federal Democratic Republic of Ethiopia, Ethiopia",1111,807,741,840,894,848,1100,953,541,1013,1254,1357,1405,1103,909
"41","Federal Democratic Republic of Nepal, Patheka, Nepal",657,771,819,760,844,1801,2208,2407,1202,3291,2922,1749,1082,827,810
"42","Federal Republic of Germany, Germany",3896,4071,4365,4857,5397,5333,6615,4906,7123,8006,9720,8103,7491,5595,6021
"43","Federal Republic of Nigeria, Nigeria",1479,1564,2001,2302,2471,1880,2226,2597,1607,2948,3059,2213,2526,2205,2283
"44","Federal Republic of Yugoslavia",1097,960,574,268,142,132,176,137,163,216,250,271,177,118,111
"45","Federated States of Micronesia, Micronesia",42,6,15,11,65,26,75,38,36,91,46,40,59,36,25
"46","Federation of Saint Kitts and Nevis, Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"47","Federative Republic of Brazil, Brazil",1725,1835,2217,1997,2350,2194,2768,2984,5258,6546,7573,5015,4765,4947,3872
"48","Gabonese Republic, Gabon",116,127,119,119,237,165,147,137,164,469,358,408,426,280,125
"49","Gambia",55,71,64,62,52,69,100,96,68,90,162,135,136,99,81
"50","Georgia",324,282,320,356,684,447,478,417,1831,1099,1100,1091,983,623,425
"51","German Democratic Republic, Germany",27,14,25,20,32,26,15,18,20,10,22,6,18,15,6
"52","Gibraltar",17,20,47,18,22,10,9,5,4,2,20,5,15,25,33
"53","Grand Duchy of Luxembourg, Luxembourg",348,281,290,257,393,646,428,346,445,612,653,555,560,381,386
"54","Greenland",8,11,14,8,9,23,13,16,22,56,51,56,54,33,47
"55","Grenada",32,19,19,33,76,70,33,38,35,85,87,102,149,143,100
"56","Guadeloupe",2,7,7,2,8,7,15,32,6,37,33,21,7,1,1
"57","Guam",42,60,19,49,37,63,62,93,51,205,156,93,99,114,36
"58","Guyane, French Guiana",13,8,6,7,7,14,8,9,29,57,69,71,29,35,18
"59","Hashemite Kingdom of Jordan, Jordan",1193,1504,1409,1817,1737,1024,1149,1298,863,1602,2106,1770,1749,1425,862
"60","Hellenic Republic, Greece",1391,1218,1216,1375,2214,1218,1269,1125,1834,1548,4865,4603,4471,1539,1380
