,country_mentioned,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,,6.21,6.12,6.89,8.46,8.94,9.66,6.46,7.02,7.01,7.62,7.77,8,7.45,7.51,7.04
2,"Ahvenanmaan Laeaeni, Aland Islands",NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,NA
3,"American Samoa, Territory of, American Samoa",0.01,0.01,0,0,0.01,0,0,0.01,0.02,0.02,0.01,0,0,0,0
4,Anguilla,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
5,Antarctica,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.04
6,Antigua and Barbuda,0,0,0,0,0.01,0,0,0.01,0,0.01,0.01,0,0,0.01,0.01
7,"Arab Republic of Egypt, Egypt",1.14,1.13,1.04,1.01,1.16,1.07,0.84,0.92,0.75,1.05,0.71,1.33,1.07,1.48,0.83
8,"Argentine Republic, Argentina",0.51,0.66,0.79,0.63,0.83,0.77,0.66,0.52,0.81,0.54,0.55,0.45,0.44,0.48,0.52
9,Aruba,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
10,"Bailiwick of Guernsey, Guernsey",NA,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0
11,"Bailiwick of Jersey, Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bangladesh,0.46,0.33,0.34,0.41,0.46,0.52,0.46,0.56,0.35,0.7,0.6,0.43,0.35,0.37,0.32
13,Barbados,0.05,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02
14,Belize,0.04,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
15,Bermuda,0.02,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0
16,"Bolivarian Republic of Venezuela, Venezuela",0.27,0.25,0.24,0.34,0.39,0.39,0.34,0.33,0.49,0.34,0.24,0.18,0.21,0.31,0.22
17,"Bonaire, Saint Eustatius and Saba, Bonaire, Saint Eustatius and Saba ",NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,0
18,Bosnia and Herzegovina,0.11,0.12,0.11,0.08,0.11,0.1,0.09,0.07,0.06,0.06,0.09,0.06,0.06,0.11,0.18
19,British Virgin Islands,0.02,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0
20,"Brunei Darussalam, Brunei",0.17,0.18,0.19,0.17,0.15,0.15,0.11,0.14,0.09,0.14,0.11,0.12,0.16,0.26,0.14
21,Burkina Faso,0.05,0.05,0.06,0.04,0.07,0.05,0.05,0.12,0.04,0.08,0.09,0.05,0.06,0.1,0.07
22,Cayman Islands,0.01,0,0.01,0,0.02,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0
23,Central African Republic,0.03,0.03,0.02,0.04,0.07,0.02,0.02,0.05,0.04,0.05,0.05,0.03,0.05,0.19,0.19
24,"Co-operative Republic of Guyana, Guyana",0.03,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01
25,"Commonwealth of Australia, Australia",1.36,1.25,1.09,1.06,1.3,1.37,1.33,1.21,1.44,1.46,1.73,1.85,1.37,1.37,1.58
26,"Commonwealth of The Bahamas, Bahamas",0.04,0.03,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.06,0.02,0.02,0.02,0.02,0.02
27,"Commonwealth of the Northern Mariana Islands, Northern Mariana Islands",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
28,Cook Islands,0.02,0.01,0,0.01,0.03,0.01,0.02,0.02,0.01,0.02,0.03,0.01,0.03,0.01,0.02
29,"Country of Curacao, Curacao",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
30,Czechia,0.38,0.39,0.33,0.33,0.49,0.51,0.52,0.57,0.64,0.48,0.33,0.37,0.39,0.33,0.43
31,"Czechoslovakia, Serbia and Montenegro",0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01
32,"Democratic People's Republic of Korea, North Korea",0.02,0.02,0.04,0.07,0.04,0.07,0.04,0.03,0.03,0.09,0.07,0.04,0.05,0.11,0.04
33,Democratic Republic of the Congo,0.56,0.57,0.44,0.38,0.38,0.3,0.32,0.34,0.18,0.21,0.23,0.19,0.24,0.27,0.19
34,"Democratic Republic of Timor-Leste, East Timor",0.21,0.11,0.21,0.11,0.08,0.07,0.09,0.04,0.03,0.03,0.05,0.03,0.04,0.02,0.02
35,"Democratic Socialist Republic of Sri Lanka, Sri Lanka",0.48,0.36,0.4,0.38,0.52,0.74,0.42,0.46,0.24,0.56,0.48,0.47,0.44,0.36,0.33
36,Dominica,0.01,0.01,0,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01
37,Dominican Republic,0.04,0.05,0.04,0.12,0.14,0.1,0.06,0.08,0.1,0.08,0.12,0.06,0.06,0.06,0.04
38,"Falkland Islands (Islas Malvinas), Falkland Islands",0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0
39,Faroe Islands,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0
40,"Federal Democratic Republic of Ethiopia, Ethiopia",0.49,0.35,0.31,0.33,0.33,0.33,0.35,0.32,0.17,0.19,0.21,0.26,0.32,0.3,0.29
41,"Federal Democratic Republic of Nepal, Patheka, Nepal",0.29,0.33,0.34,0.3,0.31,0.7,0.71,0.81,0.37,0.62,0.49,0.33,0.24,0.23,0.26
42,"Federal Republic of Germany, Germany",1.72,1.74,1.83,1.9,2.01,2.08,2.12,1.64,2.2,1.5,1.63,1.53,1.69,1.55,1.93
43,"Federal Republic of Nigeria, Nigeria",0.65,0.67,0.84,0.9,0.92,0.73,0.71,0.87,0.5,0.55,0.51,0.42,0.57,0.61,0.73
44,Federal Republic of Yugoslavia,0.48,0.41,0.24,0.11,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.05,0.04,0.03,0.04
45,"Federated States of Micronesia, Micronesia",0.02,0,0.01,0,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
46,"Federation of Saint Kitts and Nevis, Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
47,"Federative Republic of Brazil, Brazil",0.76,0.79,0.93,0.78,0.88,0.86,0.89,1,1.63,1.23,1.27,0.95,1.08,1.37,1.24
48,"Gabonese Republic, Gabon",0.05,0.05,0.05,0.05,0.09,0.06,0.05,0.05,0.05,0.09,0.06,0.08,0.1,0.08,0.04
49,Gambia,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03
