,country_mentioned,country_matched,recipient_iso,year,frequncies_by_year,counts_by_year,relevant
2269,"American Samoa, Territory of, American Samoa",Samoa,WSM,2000,NA,NA,1
2270,"American Samoa, Territory of, American Samoa",Samoa,WSM,2001,0.02,1,1
2271,"American Samoa, Territory of, American Samoa",Samoa,WSM,2002,NA,NA,1
2272,"American Samoa, Territory of, American Samoa",Samoa,WSM,2003,NA,NA,1
2273,"American Samoa, Territory of, American Samoa",Samoa,WSM,2004,0.02,1,1
2274,"American Samoa, Territory of, American Samoa",Samoa,WSM,2005,NA,NA,1
2275,"American Samoa, Territory of, American Samoa",Samoa,WSM,2006,NA,NA,1
2276,"American Samoa, Territory of, American Samoa",Samoa,WSM,2007,NA,NA,1
2277,"American Samoa, Territory of, American Samoa",Samoa,WSM,2008,0.4,18,1
2278,"American Samoa, Territory of, American Samoa",Samoa,WSM,2009,0.09,9,1
2279,"American Samoa, Territory of, American Samoa",Samoa,WSM,2010,0.02,2,1
2280,"American Samoa, Territory of, American Samoa",Samoa,WSM,2011,NA,NA,1
2281,"American Samoa, Territory of, American Samoa",Samoa,WSM,2012,NA,NA,1
2282,"American Samoa, Territory of, American Samoa",Samoa,WSM,2013,NA,NA,1
2283,"American Samoa, Territory of, American Samoa",Samoa,WSM,2014,NA,NA,1
2284,"American Samoa, Territory of, American Samoa",Samoa,WSM,2015,NA,NA,1
2285,"American Samoa, Territory of, American Samoa",Samoa,WSM,2016,NA,NA,1
2286,"American Samoa, Territory of, American Samoa",Samoa,WSM,2017,NA,NA,1
3277,"Arab Republic of Egypt, Egypt",Egypt,EGY,2000,1.41,69,1
3278,"Arab Republic of Egypt, Egypt",Egypt,EGY,2001,1.86,89,1
3279,"Arab Republic of Egypt, Egypt",Egypt,EGY,2002,1.64,75,1
3280,"Arab Republic of Egypt, Egypt",Egypt,EGY,2003,1.04,55,1
3281,"Arab Republic of Egypt, Egypt",Egypt,EGY,2004,1.84,93,1
3282,"Arab Republic of Egypt, Egypt",Egypt,EGY,2005,1.48,74,1
3283,"Arab Republic of Egypt, Egypt",Egypt,EGY,2006,1.84,95,1
3284,"Arab Republic of Egypt, Egypt",Egypt,EGY,2007,2.16,104,1
3285,"Arab Republic of Egypt, Egypt",Egypt,EGY,2008,2.15,96,1
3286,"Arab Republic of Egypt, Egypt",Egypt,EGY,2009,1.89,184,1
