recipient_iso3,year,frequencies_by_year,counts_by_year,relevant
WSM,2000,0,0,1
WSM,2001,0.02,1,1
WSM,2002,0,0,1
WSM,2003,0,0,1
WSM,2004,0.02,1,1
WSM,2005,0,0,1
WSM,2006,0,0,1
WSM,2007,0,0,1
WSM,2008,0.4,18,1
WSM,2009,0.09,9,1
WSM,2010,0.02,2,1
WSM,2011,0,0,1
WSM,2012,0,0,1
WSM,2013,0,0,1
WSM,2014,0,0,1
WSM,2015,0,0,1
WSM,2016,0,0,1
WSM,2017,0,0,1
EGY,2000,1.41,69,1
EGY,2001,1.86,89,1
EGY,2002,1.64,75,1
EGY,2003,1.04,55,1
EGY,2004,1.84,93,1
EGY,2005,1.48,74,1
EGY,2006,1.84,95,1
EGY,2007,2.16,104,1
EGY,2008,2.15,96,1
EGY,2009,1.89,184,1
EGY,2010,1.97,226,1
EGY,2011,2.26,244,1
EGY,2012,1.56,146,1
EGY,2013,2.34,180,1
EGY,2014,1.2,80,1
EGY,2015,1.41,74,1
EGY,2016,1.27,67,1
EGY,2017,1.96,105,1
ARG,2000,0.41,20,1
ARG,2001,1.15,55,1
ARG,2002,1.29,59,1
ARG,2003,0.68,36,1
ARG,2004,0.65,33,1
ARG,2005,0.58,29,1
ARG,2006,0.62,32,1
ARG,2007,0.52,25,1
ARG,2008,0.58,26,1
ARG,2009,0.34,33,1
ARG,2010,0.79,91,1
ARG,2011,0.54,58,1
ARG,2012,0.43,40,1
ARG,2013,0.52,40,1
ARG,2014,0.49,33,1
ARG,2015,0,0,1
ARG,2016,0,0,1
ARG,2017,0,0,1
BGD,2000,2.24,110,1
BGD,2001,0.88,42,1
BGD,2002,1.38,63,1
BGD,2003,1.21,64,1
BGD,2004,1.76,89,1
BGD,2005,1.28,64,1
BGD,2006,1.12,58,1
BGD,2007,2.33,112,1
BGD,2008,1.36,61,1
BGD,2009,2.09,203,1
BGD,2010,1.35,155,1
BGD,2011,1.01,109,1
BGD,2012,1.12,105,1
BGD,2013,0.61,47,1
BGD,2014,0.96,64,1
BGD,2015,0.74,39,1
BGD,2016,0.83,44,1
BGD,2017,0.95,51,1
BRB,2000,0.02,1,1
BRB,2001,0.04,2,1
BRB,2002,0.02,1,1
BRB,2003,0.04,2,1
BRB,2004,0.04,2,1
BRB,2005,0.2,10,1
BRB,2006,0.04,2,1
BRB,2007,0.04,2,1
BRB,2008,0,0,1
BRB,2009,0,0,1
BRB,2010,0.01,1,1
BRB,2011,0.02,2,1
BRB,2012,0,0,1
BRB,2013,0.05,4,1
BRB,2014,0.04,3,1
BRB,2015,0,0,1
BRB,2016,0,0,1
BRB,2017,0.02,1,1
VEN,2000,0.39,19,1
VEN,2001,0.42,20,1
VEN,2002,0.42,19,1
VEN,2003,0.62,33,1
VEN,2004,0.59,30,1
VEN,2005,0.88,44,1
VEN,2006,0.68,35,1
VEN,2007,0.62,30,1
VEN,2008,1.19,53,1
VEN,2009,0.6,58,1
VEN,2010,0.73,84,1
VEN,2011,0.23,25,1
VEN,2012,0.2,19,1
VEN,2013,0.33,25,1
VEN,2014,0.52,35,1
VEN,2015,0.57,30,1
VEN,2016,0.81,43,1
VEN,2017,0.39,21,1
BRN,2000,0.41,20,1
BRN,2001,0.27,13,1
BRN,2002,0.39,18,1
BRN,2003,0.64,34,1
BRN,2004,0.57,29,1
BRN,2005,0.6,30,1
BRN,2006,0.43,22,1
BRN,2007,0.46,22,1
BRN,2008,0.45,20,1
BRN,2009,0.44,43,1
BRN,2010,0.39,45,1
BRN,2011,0.48,52,1
BRN,2012,0.3,28,1
BRN,2013,0.66,51,1
BRN,2014,0.42,28,1
BRN,2015,0.36,19,1
BRN,2016,0.13,7,1
BRN,2017,0.28,15,1
CAF,2000,0.02,1,1
CAF,2001,0.13,6,1
CAF,2002,0.09,4,1
CAF,2003,0.13,7,1
CAF,2004,0.22,11,1
CAF,2005,0.14,7,1
CAF,2006,0.08,4,1
CAF,2007,0.19,9,1
CAF,2008,0.18,8,1
CAF,2009,0.26,25,1
CAF,2010,0.17,20,1
CAF,2011,0.11,12,1
CAF,2012,0.15,14,1
CAF,2013,0.59,45,1
CAF,2014,1.08,72,1
CAF,2015,0.34,18,1
CAF,2016,0.3,16,1
